saal,ostan,_sum,man,woman
91,آذربايجان شرقي,17423,8848,8575
91,آذربايجان غربي,15620,8059,7561
91,اردبيل,6064,3056,3008
91,اصفهان,18630,9567,9063
91,البرز,8864,4519,4345
91,ايلام,2572,1277,1295
91,بوشهر,5295,2698,2597
91,تهران,43687,22375,21312
91,چهارمحال وبختياري,4800,2452,2348
91,خراسان جنوبي,4204,2158,2046
91,خراسان رضوي,32854,16808,16046
91,خراسان شمالي,4758,2421,2337
91,خوزستان,27357,13968,13389
91,زنجان,4783,2493,2290
91,سمنان,2373,1208,1165
91,سيستان وبلوچستان,23685,12083,11602
91,فارس,20974,10829,10145
91,قزوين,5106,2613,2493
91,قم,5525,2871,2654
91,كردستان,6918,3537,3381
91,كرمان,14029,7133,6896
91,كرمانشاه,8825,4622,4203
91,كهگيلويه وبويراحمد,3928,1939,1989
91,گلستان,10032,5062,4970
91,گيلان,7818,4002,3816
91,لرستان,9170,4706,4464
91,مازندران,10723,5556,5167
91,مركزي,5306,2697,2609
91,هرمزگان,9500,4797,4703
91,همدان,7752,3990,3762
91,يزد,5403,2747,2656
